TRANSACTION_NO,ACCOUNT_NO,TRANSACTION_DATE,TRANSACTION_DETAILS,CHQ_NO,VALUE_DATE,WITHDRAWAL_AMT,DEPOSIT_AMT,BALANCE_AMT
966264,PZYX34622721581407,30-04-2022 15:27,NEFT,757838,08-05-2022 15:27,740742,897672,152840
699010,DPVV90345941094417,16-06-2022 03:12,NEFT,773838,20-07-2022 03:12,310817,412215,24553
149260,EYSR36512356560776,12-06-2022 06:15,Other,864941,17-09-2022 06:15,487317,989826,623283
152984,FLOF52502791349704,25-05-2022 02:09,NEFT,755978,12-06-2022 02:09,499300,117120,453402
731709,CCWA86009792488087,24-04-2022 14:45,Cheque,265934,04-05-2022 14:45,796605,754681,754659
288695,JTZY01602973733116,10-04-2022 12:26,NEFT,405237,12-05-2022 12:26,54648,84917,682777
587080,QXRH69601569755864,18-06-2022 16:41,NEFT,491524,31-07-2022 16:41,228548,297769,465032
710328,GWPQ58687298342546,13-06-2022 11:15,IMPS,294236,05-08-2022 11:15,370881,266134,236516
741522,PTER71136575574722,14-05-2022 03:18,Cheque,984383,15-05-2022 03:18,39790,441485,769625
273490,VJXO04399576714794,31-05-2022 14:52,RTGS,825192,11-08-2022 14:52,307397,677008,80116
73102,BZJT65550074640258,03-04-2022 08:20,RTGS,501498,21-06-2022 08:20,324670,999900,623097
604414,UEDQ00764180237363,15-05-2022 00:32,Cheque,319283,24-07-2022 00:32,668562,427607,854853
164826,TDEX53952358314524,07-04-2022 15:36,IMPS,623323,28-05-2022 15:36,655147,508358,277974
353088,VNOC28142845346779,05-06-2022 10:49,Cheque,881179,13-06-2022 10:49,185912,58414,672119
606947,ZCWG90190313514901,16-05-2022 03:49,NEFT,941671,12-07-2022 03:49,596334,924566,633191
257217,MTED20680746131448,08-05-2022 21:22,Other,669626,07-07-2022 21:22,501894,676392,138869
85696,XFFE07712759855675,17-06-2022 03:44,NEFT,907493,06-09-2022 03:44,803707,742338,27545
776256,DOTZ81184261907479,25-05-2022 03:59,RTGS,232274,27-07-2022 03:59,257096,101142,511421
788983,XGWW18678460932777,04-06-2022 13:09,Cheque,978415,25-07-2022 13:09,640808,758679,736873
578901,VNLH76034655294932,05-06-2022 21:09,NEFT,227578,26-06-2022 21:09,102439,740857,744300
1863,KTYX73456920082442,16-04-2022 12:54,Other,215045,03-07-2022 12:54,170234,560781,825319
273172,XNCM67779220831988,21-04-2022 22:08,RTGS,854416,09-05-2022 22:08,331278,749713,76301
642251,IUTM13841798163462,10-04-2022 14:12,RTGS,720023,07-05-2022 14:12,730532,300957,974178
162813,FXFG06502613568314,21-05-2022 08:55,NEFT,429368,28-07-2022 08:55,866789,811722,200996
580339,GHPO62804524872015,10-05-2022 06:12,RTGS,436255,12-06-2022 06:12,697037,635456,521866
411385,IVWN89351880699848,02-04-2022 23:33,RTGS,929022,11-04-2022 23:33,499669,523655,153691
459909,QTVG50224364339900,10-05-2022 09:05,NEFT,885221,13-07-2022 09:05,430000,567968,806397
40485,GHXN61350311870576,26-05-2022 11:18,IMPS,106468,12-07-2022 11:18,845913,885579,699269
234310,WRVM73908866387045,03-04-2022 10:56,NEFT,980486,02-07-2022 10:56,288876,471075,747611
449123,ZGXA69553949220673,08-05-2022 09:08,Other,454146,29-06-2022 09:08,466215,186692,678273
456050,GKCN84841204326381,11-04-2022 11:20,NEFT,160939,15-04-2022 11:20,93284,644950,592226
666950,KFKR90273406274680,29-04-2022 11:52,Cheque,257847,04-06-2022 11:52,140621,214686,253158
525371,VLSA68239459142202,07-04-2022 18:39,Other,479230,14-04-2022 18:39,50937,718806,530043
172931,SEBE98867498832878,04-05-2022 21:56,RTGS,261268,21-07-2022 21:56,152835,331730,303687
889474,FXJH28979175558979,15-06-2022 13:30,RTGS,837855,13-07-2022 13:30,875518,880340,211546
310409,YCKI34485964180222,21-04-2022 03:40,NEFT,869267,30-05-2022 03:40,5259,415073,38309
782618,GLQH67827251320213,10-04-2022 11:41,IMPS,529789,22-04-2022 11:41,393764,817383,788475
805191,ADDQ10227168699401,14-06-2022 06:41,IMPS,61194,30-08-2022 06:41,745201,355608,534984
539007,JAEG98638820701971,14-05-2022 10:43,Other,396290,15-08-2022 10:43,924102,755096,912112
740548,OFBW15317170776229,23-04-2022 21:32,IMPS,647274,02-07-2022 21:32,188887,554339,313967
723510,LPVS54294939307685,31-05-2022 04:12,Cheque,151880,20-08-2022 04:12,993329,104936,559021
266772,TDEX53952358314524,21-06-2022 01:05,Cheque,941470,05-07-2022 01:05,397693,607832,641635
707131,FEUV43173135013347,22-05-2022 06:38,NEFT,523539,08-06-2022 06:38,182557,386778,104994
933172,BQXR99604381765067,13-04-2022 11:18,RTGS,86333,21-07-2022 11:18,748612,741718,206368
852980,JLNY28087391385067,19-04-2022 05:18,RTGS,974079,19-06-2022 05:18,750407,792827,313982
111232,REMF81784854782937,02-05-2022 11:02,Cheque,677348,11-06-2022 11:02,787757,130560,276822
276187,GULC15681224885586,15-05-2022 20:16,NEFT,349550,28-06-2022 20:16,382502,585769,566940
169417,ZPYE83792514032242,27-04-2022 14:05,IMPS,444149,17-06-2022 14:05,658689,309501,352119
663348,UNUG04423927210588,15-04-2022 01:22,NEFT,817556,20-05-2022 01:22,289144,433440,903547
110271,OUBP89626369089013,02-06-2022 10:55,IMPS,785753,14-08-2022 10:55,755067,309422,994426
432757,AZFE51268629431283,28-04-2022 15:30,NEFT,265229,06-07-2022 15:30,324033,842984,803306
619887,TZIC04448731222951,07-05-2022 12:55,NEFT,428161,05-06-2022 12:55,340616,872307,545728
199873,EEKU35370272190174,04-04-2022 01:39,Cheque,255920,04-05-2022 01:39,806492,278381,450560
406664,HBVW88124127589377,13-05-2022 16:55,IMPS,421214,17-06-2022 16:55,58378,889043,738333
334458,TUGK18100787384155,17-06-2022 02:37,RTGS,651641,08-07-2022 02:37,343595,856955,187931
821257,AOKD95854610082269,26-05-2022 06:23,Other,437243,23-06-2022 06:23,163091,495849,625711
502818,AFRF14568144268604,16-06-2022 03:30,Cheque,788478,26-07-2022 03:30,846341,664050,141812
820764,TTZI41462723771013,17-06-2022 11:08,Cheque,576975,08-08-2022 11:08,755990,619119,831200
558613,QAWL35714604083305,07-06-2022 06:54,RTGS,537243,17-06-2022 06:54,499461,303560,383219
685019,PCTR34164790085719,27-04-2022 23:27,Other,298746,26-05-2022 23:27,530616,418353,947186
196620,CRSZ40015412139474,27-05-2022 14:10,Other,921919,04-07-2022 14:10,152244,901844,605478
260027,KKBD64665694281304,20-06-2022 15:34,Other,641043,16-07-2022 15:34,546237,193559,809681
661169,XWTR30092602301645,15-04-2022 09:47,Other,126615,12-05-2022 09:47,416676,939312,649467
451475,TILA64163546693498,04-05-2022 02:36,Cheque,161846,11-07-2022 02:36,782223,80786,19007
430567,ZBUV53964957115020,22-04-2022 04:52,RTGS,419913,31-07-2022 04:52,281673,539625,795692
786037,HBGH38304745312723,26-04-2022 21:12,NEFT,165101,06-06-2022 21:12,732519,384425,421467
516701,AHOT48057430831540,21-05-2022 13:25,IMPS,955784,09-06-2022 13:25,273411,903100,346652
614570,OZYI50021987561106,09-05-2022 03:20,Other,505849,05-06-2022 03:20,962591,88495,192498
968822,ORVE97832730732266,27-04-2022 01:18,RTGS,371681,24-07-2022 01:18,911572,159780,623343
449188,PYOV07020943486383,18-05-2022 18:49,NEFT,23676,22-07-2022 18:49,17713,801878,977432
858555,OEQN87700481753236,17-05-2022 12:30,NEFT,500631,09-08-2022 12:30,23670,421353,113811
50451,UIVC19731773560786,22-05-2022 07:00,NEFT,873841,19-07-2022 07:00,829721,646253,709800
479681,AZOV08161023922534,06-05-2022 17:38,NEFT,949917,25-05-2022 17:38,310854,572626,284469
145415,NQRT52972163898596,08-05-2022 04:19,Other,659466,10-05-2022 04:19,11094,227141,485627
632782,ICIO09752923241597,07-05-2022 20:37,IMPS,175978,14-05-2022 20:37,155332,831930,833561
233219,BQSN02967008117299,04-06-2022 07:22,RTGS,716200,10-06-2022 07:22,71584,404187,509207
765722,VRPE86037058226646,28-05-2022 14:28,Cheque,415887,21-08-2022 14:28,641984,63786,999776
651713,ZXDK04738463194687,06-05-2022 00:45,IMPS,175687,28-05-2022 00:45,927685,125998,543129
401118,ZGXA69553949220673,19-06-2022 08:31,NEFT,975837,23-07-2022 08:31,66542,948141,944947
101037,NMBQ19645117192087,09-06-2022 09:25,Cheque,379018,20-06-2022 09:25,604704,355877,231152
621325,LEPM58093402432193,06-06-2022 16:20,NEFT,653597,14-09-2022 16:20,453040,986081,533772
479224,IXJB54376078798370,04-05-2022 05:17,Other,568768,09-08-2022 05:17,759442,269509,400959
897513,JHXS90895465514986,16-04-2022 14:10,NEFT,450798,26-06-2022 14:10,483539,368262,44976
194213,MWWM71535815839634,15-04-2022 14:15,Cheque,558024,15-06-2022 14:15,352964,168405,299332
304095,DOHT41562298165657,08-06-2022 18:12,Cheque,83138,05-07-2022 18:12,879371,316801,872595
78895,DFNB75444298830862,19-06-2022 04:39,RTGS,738010,25-07-2022 04:39,174523,119836,821398
902142,XGBJ41267008015806,14-04-2022 19:30,Cheque,943854,24-04-2022 19:30,277318,369799,73618
470787,ROVH39109958375444,08-06-2022 21:47,Cheque,889974,26-08-2022 21:47,164779,409145,650429
232047,FZHY58035609657269,01-06-2022 00:58,Cheque,359930,15-08-2022 00:58,874908,21212,688202
514253,FXJH28979175558979,08-04-2022 19:44,Other,977910,28-06-2022 19:44,403366,540492,119916
111271,FNVQ79261250551015,28-05-2022 01:09,RTGS,832925,18-06-2022 01:09,618411,112409,27986
682941,INZH88131926825109,03-06-2022 02:46,RTGS,465366,18-06-2022 02:46,310786,836287,613483
256405,PFBI47587989335725,05-04-2022 18:13,IMPS,444081,29-04-2022 18:13,428613,120029,974249
468970,LWUI70813724121468,03-06-2022 01:11,IMPS,766272,08-09-2022 01:11,463151,171982,696308
676136,TZJE09543229777881,03-05-2022 09:42,Cheque,96625,22-07-2022 09:42,885737,369065,477576
985717,FQHE57953283633016,08-06-2022 09:13,NEFT,163573,26-06-2022 09:13,97306,398948,778943
799393,JOJE10486983648928,19-05-2022 22:24,NEFT,975475,13-07-2022 22:24,21790,104248,636972
716531,MGBJ04129028365825,18-04-2022 14:40,RTGS,608486,20-07-2022 14:40,924699,82713,822079
384408,EPGJ59446729740881,10-06-2022 09:05,NEFT,252185,23-07-2022 09:05,668028,722279,720113
229976,FLTK61060651680052,04-05-2022 01:22,Cheque,570651,14-07-2022 01:22,371549,767928,90201
410842,UYEU27207785658684,23-05-2022 15:53,NEFT,949753,24-06-2022 15:53,699518,529793,46053
524491,EVPL44847446749753,24-04-2022 21:28,Other,422776,08-07-2022 21:28,32199,909940,353775
567324,COMV30122577767581,03-04-2022 21:41,Other,418665,11-07-2022 21:41,155345,570795,195914
972835,DNNX47208850429171,14-06-2022 19:39,Other,787246,31-07-2022 19:39,813193,431410,917999
871189,GBGP25021813548879,16-05-2022 14:48,Cheque,800756,25-06-2022 14:48,734575,601946,165182
648144,BXRU89129502344249,16-06-2022 16:59,Cheque,266353,25-08-2022 16:59,494813,866106,507893
952006,RQSX22523980302407,24-05-2022 03:21,RTGS,152141,28-07-2022 03:21,105377,759243,925833
459754,HSHO53302992388795,06-06-2022 05:28,IMPS,262451,17-08-2022 05:28,184689,967354,125073
187418,DKXQ71453446686854,07-06-2022 19:00,RTGS,869285,25-06-2022 19:00,409611,979207,891574
78174,LPJO14080019902758,09-06-2022 03:22,Other,245295,03-09-2022 03:22,255625,688664,276206
404182,KVAI97006864504984,08-06-2022 06:25,IMPS,518950,14-07-2022 06:25,427241,257312,719125
990614,PCTR34164790085719,08-06-2022 12:15,NEFT,488510,07-09-2022 12:15,58473,703067,535192
982283,NYLT33535752932956,19-05-2022 00:26,RTGS,794549,23-07-2022 00:26,721058,596658,176987
27785,WNZQ83768130141978,05-05-2022 21:20,IMPS,204150,20-06-2022 21:20,792431,61612,337525
236552,TTZI41462723771013,22-05-2022 02:34,IMPS,297229,25-05-2022 02:34,951842,858995,469410
644183,SWZF53226013096948,12-06-2022 21:52,IMPS,577444,02-08-2022 21:52,480325,181459,336704
870087,ZHSW44375781235747,04-04-2022 07:34,Other,613048,13-07-2022 07:34,186288,381497,199669
205446,ZSML99056662203058,22-04-2022 18:19,NEFT,418635,05-07-2022 18:19,717227,300459,839799
149646,KASK31901391640650,10-05-2022 15:35,Other,490786,15-06-2022 15:35,768258,705871,984714
835469,UYMJ35445496504073,02-04-2022 16:49,IMPS,95024,26-04-2022 16:49,288769,711360,337571
351804,YYHX95661240702836,16-04-2022 22:01,Cheque,994843,05-07-2022 22:01,322475,970763,494947
952210,VOGM59715109029178,16-04-2022 06:37,RTGS,315380,04-06-2022 06:37,568743,747295,303584
719317,CBSY90601106620921,18-04-2022 15:05,Cheque,699390,04-05-2022 15:05,640905,222791,80170
166026,ZWTG09300507663789,04-06-2022 03:37,NEFT,97568,26-06-2022 03:37,925928,410623,145908
209441,VXYL46627913992637,10-05-2022 18:44,NEFT,55131,23-06-2022 18:44,961408,177290,100456
145866,YBAE05171667855846,22-04-2022 18:09,NEFT,495630,05-05-2022 18:09,592101,800699,991911
184724,HBFP75601795148802,10-05-2022 13:04,Cheque,495456,26-05-2022 13:04,138341,377601,876323
717887,SFQQ60915134949686,30-04-2022 05:31,IMPS,721908,26-07-2022 05:31,11704,667452,197799
610475,PFUG50054022759046,05-05-2022 20:34,Cheque,877452,22-07-2022 20:34,166047,21118,939177
745015,FKUU71637886027216,02-04-2022 21:57,Cheque,438896,18-05-2022 21:57,885999,230453,173433
73459,IGSE89463124686319,15-05-2022 22:49,NEFT,196428,03-08-2022 22:49,580175,889920,79150
932834,FZCP25322080535703,05-05-2022 15:21,Other,296205,13-08-2022 15:21,339960,795194,559506
273307,IXQZ20687351635684,18-05-2022 14:33,RTGS,116365,19-06-2022 14:33,816906,998838,720511
421382,AHBX48691314512185,30-05-2022 15:26,RTGS,363146,31-08-2022 15:26,879215,675385,444883
320498,NNAS80131018107051,22-04-2022 09:23,NEFT,263110,23-06-2022 09:23,306961,379991,531903
769842,LEMH09590585889676,04-05-2022 06:37,Cheque,644900,13-05-2022 06:37,254683,160341,581526
882598,IWLN89121620629487,09-04-2022 16:26,Other,465081,22-05-2022 16:26,694222,489358,794070
833924,SECK52299230002347,31-05-2022 20:54,Other,847722,03-08-2022 20:54,404143,547844,797599
936196,ETUI49774339320933,16-05-2022 23:51,IMPS,548502,28-06-2022 23:51,556758,779074,89740
731825,FTLH07181881254605,13-04-2022 19:04,Other,79927,30-06-2022 19:04,132816,66443,16183
409630,ZOQN70651312729704,29-05-2022 16:12,Other,251982,22-08-2022 16:12,435859,720805,754436
880488,RQYG42742736310426,09-04-2022 15:38,IMPS,640680,01-06-2022 15:38,653628,721395,336885
43165,KVAI97006864504984,23-05-2022 03:28,RTGS,215630,26-06-2022 03:28,678931,114769,400126
464206,PMTV48435236919193,03-04-2022 06:18,NEFT,459693,02-05-2022 06:18,237312,931045,732399
400220,FHEG67733966459198,08-06-2022 13:43,RTGS,304107,07-08-2022 13:43,566516,637895,896305
710807,YCKI34485964180222,04-06-2022 08:52,IMPS,596378,10-07-2022 08:52,530282,722918,675329
330291,YSKE38198194335171,02-05-2022 20:27,Other,661591,26-07-2022 20:27,387875,822552,5915
840848,NNHI19922027854983,22-05-2022 01:40,IMPS,813236,18-06-2022 01:40,341557,832519,849133
343199,MTED20680746131448,26-04-2022 01:50,Other,62781,05-06-2022 01:50,752257,627351,389556
162347,EQBX28353650131667,09-04-2022 07:15,IMPS,553622,12-06-2022 07:15,674566,406427,710233
462805,SEXE44116528061092,17-04-2022 19:33,Cheque,714913,21-07-2022 19:33,650906,631753,766520
639883,TVQP87123824513672,04-04-2022 06:03,RTGS,59278,12-04-2022 06:03,92649,867728,136245
458369,GKAT44694618468008,12-05-2022 00:57,RTGS,743473,23-05-2022 00:57,827564,266373,937279
64664,MNTT83201790386881,16-06-2022 17:40,Cheque,236356,17-09-2022 17:40,52243,984583,717124
582043,ZEDZ36566284858936,16-05-2022 01:27,Other,946334,30-07-2022 01:27,341028,477823,454103
371401,MORZ47845031076830,12-05-2022 12:57,RTGS,690180,13-05-2022 12:57,775061,328897,344856
955646,TLWT05422074682049,02-06-2022 02:44,Cheque,962794,02-09-2022 02:44,116485,630768,310631
244275,SDMI10700522134035,12-06-2022 12:48,IMPS,803915,04-09-2022 12:48,87186,932217,322081
65384,VFTL59440325618106,09-05-2022 08:19,IMPS,725851,29-07-2022 08:19,647288,252508,444144
722811,ITCT14115152226757,14-06-2022 02:30,IMPS,576943,15-07-2022 02:30,511207,216866,378710
286716,LAZF66166602370273,28-04-2022 07:50,IMPS,121051,04-07-2022 07:50,224510,119345,172016
486785,KALZ15223119893441,24-05-2022 23:44,Other,550776,24-06-2022 23:44,165404,208082,395956
52057,LYGR82857563376945,17-05-2022 22:56,IMPS,145879,02-06-2022 22:56,617561,16613,463863
215254,UIVC19731773560786,23-05-2022 09:27,Other,805378,30-06-2022 09:27,110502,351664,446374
412373,BGUO37112468102267,27-04-2022 07:41,RTGS,991758,16-05-2022 07:41,907332,421101,388781
362028,DHJU02978512798960,03-06-2022 14:31,Other,602070,08-08-2022 14:31,672580,382163,379055
822570,ICIO09752923241597,16-04-2022 05:26,Cheque,252098,11-06-2022 05:26,365422,341884,196620
13922,FTKL82199724919563,11-05-2022 18:12,NEFT,5094,09-07-2022 18:12,391753,504022,313459
134021,DJBL40301823522207,15-06-2022 21:36,NEFT,379603,22-06-2022 21:36,271696,283422,213465
795544,TUGK18100787384155,11-04-2022 20:06,Cheque,462517,09-05-2022 20:06,654406,532271,59577
718018,FYQL90895728658315,11-04-2022 02:24,Other,967501,28-05-2022 02:24,105180,193694,115587
160708,GSSU45162720071721,13-04-2022 09:49,Other,599249,19-07-2022 09:49,448802,774465,646202
219730,JWRX49366776629732,24-05-2022 16:56,RTGS,132125,02-06-2022 16:56,541787,700365,290681
835594,HBOJ30540835505847,12-06-2022 21:58,RTGS,1322,04-07-2022 21:58,77359,603199,601651
711131,FQBA56981405864317,26-04-2022 15:22,IMPS,717388,13-05-2022 15:22,60449,556252,87127
530967,JQYF06104431687040,21-05-2022 05:52,RTGS,663511,29-06-2022 05:52,956315,939391,442838
138552,KALZ15223119893441,16-04-2022 14:24,Other,507279,03-05-2022 14:24,341474,619252,146438
38548,GOSJ51864047277460,13-06-2022 15:41,Cheque,820736,15-06-2022 15:41,693231,163208,297793
653202,AKJQ38938590287368,29-05-2022 00:27,IMPS,119054,06-06-2022 00:27,654505,596626,507815
232848,NHSI12816433910244,24-04-2022 22:28,NEFT,398876,16-06-2022 22:28,21602,648828,332237
118366,KEOR24492367502423,13-06-2022 16:55,Other,972178,04-07-2022 16:55,333106,358989,818996
938303,SRAC90565202293097,25-05-2022 13:02,IMPS,602443,30-05-2022 13:02,645334,444324,554277
798534,EYSR36512356560776,02-06-2022 10:11,NEFT,109653,02-07-2022 10:11,388128,376027,482522
498766,ICTQ37694319393066,11-04-2022 01:50,Other,456643,09-06-2022 01:50,183614,408175,216575
118486,XSXW82101521566248,07-04-2022 00:22,NEFT,910286,28-06-2022 00:22,914706,317724,735609
581689,BMEK87466640649380,18-06-2022 18:19,Other,113411,27-07-2022 18:19,39895,425118,56650
210161,ADES34246228867486,15-05-2022 04:12,NEFT,163616,02-08-2022 04:12,491009,776874,788097
607215,OUBP89626369089013,04-06-2022 22:09,Other,818224,14-07-2022 22:09,571582,498004,388586
971587,ZTBI35615909175457,13-04-2022 21:05,Other,813398,18-05-2022 21:05,989064,583665,123317
515833,WZSW75944237207352,11-04-2022 03:09,NEFT,977191,25-04-2022 03:09,575453,8872,50882
517570,UQCS93705154994909,18-06-2022 01:46,IMPS,295789,08-08-2022 01:46,402377,443431,759015
420625,AMBY29069039211224,13-06-2022 05:25,Other,321027,17-06-2022 05:25,749092,457621,609284
431935,VVUC46060443894120,12-06-2022 18:37,RTGS,381573,04-07-2022 18:37,117216,286658,150282
986114,QZNL63802336468151,18-06-2022 04:29,RTGS,284157,18-07-2022 04:29,448160,100083,676234
478647,KIFV12573054077015,03-06-2022 21:38,RTGS,771528,27-07-2022 21:38,467004,735417,424477
181787,PJLF20611176490911,14-06-2022 13:49,NEFT,2115,18-09-2022 13:49,361900,327979,164123
475592,WORB35472561020807,14-04-2022 20:25,NEFT,138374,12-07-2022 20:25,329811,726237,732187
684399,YDHV55646880194343,25-05-2022 11:56,NEFT,645783,09-08-2022 11:56,922815,13354,216805
702583,BYUG86210146793899,20-05-2022 10:47,NEFT,243606,08-06-2022 10:47,171037,855959,277840
52211,DFXC24263847943008,05-04-2022 22:23,Cheque,976999,09-05-2022 22:23,100928,44467,882579
93965,TYFE22498920075366,05-06-2022 02:51,RTGS,318055,21-08-2022 02:51,244227,130431,39407
650379,RCVB16865604763826,30-04-2022 13:55,RTGS,739222,12-05-2022 13:55,428712,736727,955217
19687,MOBW05524449661575,01-05-2022 06:21,IMPS,166616,16-05-2022 06:21,657936,581213,440352
896087,UNHN02423493852788,04-04-2022 15:38,NEFT,433743,07-07-2022 15:38,671540,161646,800830
813105,VRZM54044113142641,09-05-2022 22:20,RTGS,381264,13-05-2022 22:20,467306,145417,475096
557493,ABGK22925640736592,16-06-2022 17:34,RTGS,515760,22-06-2022 17:34,337571,977104,228370
63686,YQIZ36512129178620,03-06-2022 05:01,Other,407535,04-06-2022 05:01,669184,17651,994474
112630,PITY07693963256654,15-05-2022 13:34,RTGS,590619,02-06-2022 13:34,403712,794627,904696
793278,IYPP47967816354496,30-04-2022 01:22,IMPS,814557,12-05-2022 01:22,384049,815795,985647
247676,TMLR22111356248373,07-04-2022 07:34,Other,776463,09-05-2022 07:34,185714,361752,200910
674996,EMHH03824143749954,18-06-2022 10:07,RTGS,369417,24-09-2022 10:07,760711,305394,918625
806617,UOZO00816762536410,20-05-2022 23:28,IMPS,704473,12-06-2022 23:28,936444,334435,89598
463859,JNGU83339213416810,17-04-2022 22:17,Other,5984,18-07-2022 22:17,763741,908171,876379
106816,BLMQ33781627579346,24-04-2022 06:31,NEFT,765602,06-05-2022 06:31,738804,948138,146281
250860,GTVA68291119167587,14-04-2022 07:40,Cheque,116665,27-04-2022 07:40,617728,557840,942135
508268,JFND83075656895772,18-06-2022 08:35,RTGS,676868,30-07-2022 08:35,108815,357177,930692
312569,ZHIQ14706954825998,05-06-2022 00:18,NEFT,706885,26-08-2022 00:18,788906,6679,903984
310986,RAJI90404321096189,08-06-2022 03:37,RTGS,960121,04-09-2022 03:37,199959,140875,535138
162733,GREU17348755541759,15-05-2022 17:53,Cheque,948858,18-05-2022 17:53,640559,828740,752229
618922,AQPO00647708210245,04-06-2022 05:37,Other,519806,08-09-2022 05:37,264366,137140,10410
72889,NCJG00579048488074,05-05-2022 13:22,RTGS,88657,15-07-2022 13:22,504629,484768,821447
949707,MCFE45841478525739,20-06-2022 14:26,NEFT,92447,12-07-2022 14:26,394595,310093,567714
915030,EEKS48251960701664,30-05-2022 06:43,Other,994805,15-07-2022 06:43,480229,710003,77336
607368,GOBH12583526560329,27-04-2022 09:39,NEFT,142944,02-07-2022 09:39,76898,805988,7478
863995,TJDM61502253720312,20-05-2022 04:38,NEFT,22047,22-05-2022 04:38,271468,495133,275584
532314,PRXH35664951563229,28-05-2022 07:01,Cheque,344307,05-09-2022 07:01,495960,478585,558224
43198,OPAL54758389897419,23-04-2022 06:06,Cheque,898325,19-05-2022 06:06,114798,846690,62712
48258,WDHA31507900571989,02-05-2022 09:40,Cheque,355627,11-06-2022 09:40,176209,848074,797689
96051,VNYJ89510793143526,20-06-2022 10:00,Other,969987,14-07-2022 10:00,587572,580462,193696
132943,VHQK33495930929575,06-04-2022 23:18,NEFT,639804,03-05-2022 23:18,948612,27728,985305
789653,ADDQ10227168699401,05-06-2022 21:00,Cheque,118922,31-07-2022 21:00,368088,540986,219559
190578,GDHB43815946513611,29-05-2022 02:42,NEFT,430094,26-07-2022 02:42,901403,333788,831427
912250,IEAZ99187821415858,12-05-2022 07:39,Other,59788,13-08-2022 07:39,13732,949340,65564
315549,HJUN21049182778799,06-04-2022 16:14,RTGS,471059,05-05-2022 16:14,454432,111867,13953
72223,TDJB93081247846423,15-06-2022 01:01,RTGS,211193,23-06-2022 01:01,237067,29869,762124
246762,MCXS07493424850817,12-05-2022 05:48,RTGS,585536,22-07-2022 05:48,96694,406950,732560
44227,CUER29722674292522,17-04-2022 20:30,IMPS,680994,19-04-2022 20:30,774361,843355,125465
243472,UDHY96373346667320,06-04-2022 08:17,RTGS,998665,16-04-2022 08:17,81735,929302,57609
425502,NTGK53869142523304,01-06-2022 05:32,Other,750059,15-07-2022 05:32,4287,638625,697743
834842,EHHB79169994467701,06-05-2022 05:19,RTGS,137953,04-07-2022 05:19,778320,638230,620452
226038,DXYO29191212744274,23-04-2022 19:37,Other,521225,29-05-2022 19:37,978708,527000,841524
646234,LAEY99158992942008,15-04-2022 05:53,IMPS,376457,30-06-2022 05:53,856309,359982,238788
422867,IJWK63479583670450,21-04-2022 18:47,IMPS,861094,12-05-2022 18:47,695483,554776,942105
147405,YJDV72372763089868,05-06-2022 15:00,RTGS,625413,14-08-2022 15:00,513068,481552,234742
951855,YCKI34485964180222,15-06-2022 06:26,Cheque,494784,13-09-2022 06:26,345812,895703,796199
722266,EXFX77410782216464,12-05-2022 19:34,NEFT,900412,10-08-2022 19:34,724138,759066,248934
756190,FVWD09799656213552,19-04-2022 21:01,IMPS,441822,02-05-2022 21:01,342037,734080,496399
520370,AHHY90016815788106,29-05-2022 10:18,Cheque,58948,08-06-2022 10:18,571106,704408,477808
145636,VTWS17241392705904,16-05-2022 16:53,Other,909745,06-06-2022 16:53,767705,455635,755687
